Date,Description,Amount,Balance,Reference
2026-09-02,ACME CORP PAYMENT,-500.00,444500.00,ACH1000
2026-09-02,UPS STORE PAYMENT,-2151.00,442349.00,ACH1026
2026-09-02,PAGERDUTY PAYMENT,-3802.00,438547.00,ACH1052
2026-09-02,GUSTO PAYROLL,-12500.00,426047.00,CARD3000
2026-09-03,GLOBEX LLC PAYMENT,-563.50,425483.50,ACH1001
2026-09-03,COMCAST PAYMENT,-2214.50,423269.00,ACH1027
2026-09-03,DEPOSIT NORTHSTAR,1200.00,424469.00,DEP2000
2026-09-03,GUSTO PAYROLL,-3200.00,421269.00,CARD3001
2026-09-04,INITECH PAYMENT,-627.00,420642.00,ACH1002
2026-09-04,VERIZON PAYMENT,-2278.00,418364.00,ACH1028
2026-09-04,DEPOSIT BLUE OCEAN,1355.00,419719.00,DEP2001
2026-09-04,WEWORK MEMBERSHIP,-4100.00,415619.00,CARD3002
2026-09-04,SERVICE FEE,-35.00,415584.00,FEE0
2026-09-05,UMBRELLA CO PAYMENT,-690.50,414893.50,ACH1003
2026-09-05,ATT BIZ PAYMENT,-2341.50,412552.00,ACH1029
2026-09-05,DEPOSIT EVERGREEN,1510.00,414062.00,DEP2002
2026-09-05,GITHUB SUBSCRIPTION,-90.00,413972.00,CARD3003
2026-09-05,SERVICE FEE,-40.00,413932.00,FEE1
2026-09-06,STARK INDS PAYMENT,-754.00,413178.00,ACH1004
2026-09-06,PG AND E PAYMENT,-2405.00,410773.00,ACH1030
2026-09-06,DEPOSIT SUMMIT CO,1665.00,412438.00,DEP2003
2026-09-06,NOTION SUBSCRIPTION,-135.00,412303.00,CARD3004
2026-09-06,SERVICE FEE,-45.00,412258.00,FEE2
2026-09-06,SPLITCO 1 PAYMENT,-6150.00,406108.00,ACH4000
2026-09-07,WAYNE ENT PAYMENT,-817.50,405290.50,ACH1005
2026-09-07,DELOITTE PAYMENT,-2468.50,402822.00,ACH1031
2026-09-07,DEPOSIT PINNACLE,1820.00,404642.00,DEP2004
2026-09-07,SLACK SUBSCRIPTION,-180.00,404462.00,CARD3005
2026-09-07,SERVICE FEE,-50.00,404412.00,FEE3
2026-09-07,SPLITCO 2 PAYMENT,-6345.00,398067.00,ACH4001
2026-09-08,HOOLI INC PAYMENT,-881.00,397186.00,ACH1006
2026-09-08,KPMG PAYMENT,-2532.00,394654.00,ACH1032
2026-09-08,DEPOSIT HORIZON,1975.00,396629.00,DEP2005
2026-09-08,FIGMA SUBSCRIPTION,-225.00,396404.00,CARD3006
2026-09-08,SPLITCO 3 PAYMENT,-6540.00,389864.00,ACH4002
2026-09-09,VANDELAY PAYMENT,-944.50,388919.50,ACH1007
2026-09-09,ADOBE PAYMENT,-2595.50,386324.00,ACH1033
2026-09-09,DEPOSIT BEACON,2130.00,388454.00,DEP2006
2026-09-09,FIGMA SUBSCRIPTION,-330.00,388124.00,CARD3007
2026-09-09,SPLITCO 4 PAYMENT,-6735.00,381389.00,ACH4003
2026-09-09,PARTIAL 1 PAYMENT,-3120.00,378269.00,ACH4100
2026-09-10,SOYLENT PAYMENT,-1008.00,377261.00,ACH1008
2026-09-10,ATLASSIAN PAYMENT,-2659.00,374602.00,ACH1034
2026-09-10,DEPOSIT KEYSTONE,2285.00,376887.00,DEP2007
2026-09-10,GITHUB SUBSCRIPTION,-360.00,376527.00,CARD3008
2026-09-10,SPLITCO 5 PAYMENT,-6930.00,369597.00,ACH4004
2026-09-10,PARTIAL 2 PAYMENT,-3204.00,366393.00,ACH4101
2026-09-11,CYBERDYNE PAYMENT,-1071.50,365321.50,ACH1009
2026-09-11,TWILIO PAYMENT,-2722.50,362599.00,ACH1035
2026-09-11,DEPOSIT MERIDIAN,2440.00,365039.00,DEP2008
2026-09-11,NOTION SUBSCRIPTION,-390.00,364649.00,CARD3009
2026-09-11,PARTIAL 3 PAYMENT,-3288.00,361361.00,ACH4102
2026-09-12,TYRELL CORP PAYMENT,-1135.00,360226.00,ACH1010
2026-09-12,SEGMENT PAYMENT,-2786.00,357440.00,ACH1036
2026-09-12,DEPOSIT VANGUARD,2595.00,360035.00,DEP2009
2026-09-12,SLACK SUBSCRIPTION,-420.00,359615.00,CARD3010
2026-09-12,PARTIAL 4 PAYMENT,-3372.00,356243.00,ACH4103
2026-09-12,EUROVEND 1 EUR PAYMENT,-6148.80,350094.20,WIRE0
2026-09-13,OSCORP PAYMENT,-1198.50,348895.70,ACH1011
2026-09-13,DATADOG PAYMENT,-2849.50,346046.20,ACH1037
2026-09-13,DEPOSIT CATALYST,2750.00,348796.20,DEP2010
2026-09-13,FIGMA SUBSCRIPTION,-450.00,348346.20,CARD3011
2026-09-13,EUROVEND 2 EUR PAYMENT,-6360.48,341985.72,WIRE1
2026-09-14,NAKATOMI PAYMENT,-1262.00,340723.72,ACH1012
2026-09-14,SNOWFLAKE PAYMENT,-2913.00,337810.72,ACH1038
2026-09-14,DEPOSIT MOMENTUM,2905.00,340715.72,DEP2011
2026-09-14,GITHUB SUBSCRIPTION,-480.00,340235.72,CARD3012
2026-09-14,EUROVEND 3 EUR PAYMENT,-6572.16,333663.56,WIRE2
2026-09-14,ZOOM VIDEO,-499.00,333164.56,CARD8001
2026-09-14,ZOOM VIDEO,-499.00,332665.56,CARD8002
2026-09-15,GEKKO CAP PAYMENT,-1325.50,331340.06,ACH1013
2026-09-15,OKTA PAYMENT,-2976.50,328363.56,ACH1039
2026-09-15,DEPOSIT APEX,3060.00,331423.56,DEP2012
2026-09-15,NOTION SUBSCRIPTION,-510.00,330913.56,CARD3013
2026-09-15,POS 4471 SHENZHEN,-820.00,330093.56,POS0
2026-09-16,BLUTH CO PAYMENT,-1389.00,328704.56,ACH1014
2026-09-16,CLOUDFLARE PAYMENT,-3040.00,325664.56,ACH1040
2026-09-16,DEPOSIT ZENITH,3215.00,328879.56,DEP2013
2026-09-16,SLACK SUBSCRIPTION,-540.00,328339.56,CARD3014
2026-09-16,POS 8823 SHENZHEN,-950.00,327389.56,POS1
2026-09-17,DUNDER MIFFLIN PAYMENT,-1452.50,325937.06,ACH1015
2026-09-17,STRIPE PAYMENT,-3103.50,322833.56,ACH1041
2026-09-17,DEPOSIT NOVA GRP,3370.00,326203.56,DEP2014
